"IRIS","LIBIRIS","COM","LIBCOM","DEC_PIMP14","DEC_TP6014","DEC_Q114","DEC_MED14","DEC_Q314","DEC_EQ14","DEC_D114","DEC_D214","DEC_D314","DEC_D414","DEC_D614","DEC_D714","DEC_D814","DEC_D914","DEC_RD14","DEC_S80S2014","DEC_GI14","DEC_PTSA14","DEC_PCHO14","DEC_PBEN14","DEC_PPEN14","DEC_PAUT14","note"
"751010201","Les Halles 1","75101","Paris 1er Arrondissement","72.003034901365709","17.85876993166287","16898","29166","48026","1.0672701090310637","7704","14084","19153","24362","34778","43124","53506","73300","9.5145379023883692","14.006289569984457","0.46335984749999998","65.099999999999994","3.1000000000000001","8.1999999999999993","13.4","10.199999999999999","0"
"751010202","Les Halles 2","75101","Paris 1er Arrondissement","76.736493936052923","13.142485361093035","20834","36640","60212","1.0747270742358079","9392","17642","23664","30228","44836","53410","72680","103340","11.00298126064736","16.188095602009007","0.50190840759999999","60.700000000000003","2.3999999999999999","8.6999999999999993","11.4","16.800000000000001","0"
"751010203","Les Halles 3","75101","Paris 1er Arrondissement","75.578611332801287","13.25706594885599","18522","33032","57628","1.1838822959554371","9950","16420","21260","26786","40126","50640","65672","91638","9.2098492462311565","15.086956948638012","0.49850050439999999","56.100000000000001","2.7000000000000002","12.5","14.4","14.300000000000001","0"
"751010204","Les Halles 4","75101","Paris 1er Arrondissement","74.881516587677723","14.469772051536175","20618","35972","59144","1.0709996664072057","8790","17252","23096","29830","42588","53096","68202","95162","10.826166097838453","13.514296170032454","0.4487871189","68.200000000000003","2.6000000000000001","6.2999999999999998","11.5","11.4","0"
"751010301","Palais Royal 1","75101","Paris 1er Arrondissement","74.982864976010973","14.269620728501687","20444","36086","62046","1.1528570636812061","9326","16612","23620","30486","45050","55490","73378","105464","11.308599613982414","21.101164411374132","0.55061630530000005","49","1.6000000000000001","11.300000000000001","14.699999999999999","23.399999999999999","0"
"751010401","Place Vendome 1","75101","Paris 1er Arrondissement","78.987730061349694",NA,"22946","42958","78350","1.2897248475254901","12390","18446","25284","33708","52044","65126","88126","149794","12.089911218724778","22.747461657167371","0.58815798109999995","59.100000000000001","1.2","13.1","13.6","13","0"
"751010402","Place Vendome 2","75101","Paris 1er Arrondissement","75.031210986267155",NA,"20760","38442","67816","1.2240778315384215","9670","18672","24408","30866","46288","59392","74998","112088","11.591313340227508","18.159347883148417","0.51899147059999995","61.200000000000003","2","6.7999999999999998","11.6","18.399999999999999","0"
"751020601","Vivienne 1","75102","Paris 2e Arrondissement","79.761904761904773","12.088235294117649","21910","36994","61068","1.0584959723198357","10874","18292","24214","30826","44792","54868","70122","112508","10.34651462203421","15.199734012440915","0.50724240009999999","62","2.5","14.9","8.5","12.1","0"
"751020602","Vivienne 2","75102","Paris 2e Arrondissement","76.844783715012724",NA,"20174","35012","57820","1.0752313492516852","8896","17082","22724","28521","42656","52300","64246","90478","10.170638489208633","14.463815690502212","0.48213712720000002","65.099999999999994","2.6000000000000001","6.5999999999999996","9.9000000000000004","15.800000000000001","0"
"751020701","Mail 1","75102","Paris 2e Arrondissement","74.084778420038532","16.085931359706578","17496","33566","55784","1.1406780670916998","7814","14428","19994","25632","40060","49188","64318","89056","11.396979779882262","13.672066613515168","0.44573807110000002","68.700000000000003","3.5","8.1999999999999993","12.800000000000001","6.7999999999999998","0"
