"IRIS","LIBIRIS","COM","LIBCOM","DEC_PIMP21","DEC_TP6021","DEC_INCERT21","DEC_Q121","DEC_MED21","DEC_Q321","DEC_EQ21","DEC_D121","DEC_D221","DEC_D321","DEC_D421","DEC_D621","DEC_D721","DEC_D821","DEC_D921","DEC_RD21","DEC_S80S2021","DEC_GI21","DEC_PACT21","DEC_PTSA21","DEC_PCHO21","DEC_PBEN21","DEC_PPEN21","DEC_PAUT21","DEC_NOTE21"
"751010101","Saint-Germain l'Auxerrois 1","75101","Paris 1er Arrondissement","ns","ns","so","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","so","so","ns","ns","ns","ns","ns","ns","ns","so"
"751010102","Saint-Germain l'Auxerrois 2","75101","Paris 1er Arrondissement","ns","ns","so","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","so","so","ns","ns","ns","ns","ns","ns","ns","so"
"751010103","Saint-Germain l'Auxerrois 3","75101","Paris 1er Arrondissement","ns","ns","so","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","so","so","ns","ns","ns","ns","ns","ns","ns","so"
"751010104","Saint-Germain l'Auxerrois 4","75101","Paris 1er Arrondissement","ns","ns","so","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","so","so","ns","ns","ns","ns","ns","ns","ns","so"
"751010105","Tuileries","75101","Paris 1er Arrondissement","nd","nd","so","nd","nd","nd","nd","nd","nd","nd","nd","nd","nd","nd","nd","so","so","nd","nd","nd","nd","nd","nd","nd","so"
"751010199","Seine et Berges","75101","Paris 1er Arrondissement","nd","nd","so","nd","nd","nd","nd","nd","nd","nd","nd","nd","nd","nd","nd","so","so","nd","nd","nd","nd","nd","nd","nd","so"
"751010201","Les Halles 1","75101","Paris 1er Arrondissement","67,0","18,0","1","17370","33800","57660","1,19","6670","14680","21150","27900","41230","50500","64090","89600","13,4","17,0","0,471","78,8","68,0","3,1","7,7","12,3","8,9","0"
"751010202","Les Halles 2","75101","Paris 1er Arrondissement","73,0","13,0","2","22800","43760","68600","1,05","9770","18520","26840","35820","52000","62940","78700","114660","11,7","20,1","0,531","67,8","58,5","2,3","7,0","9,2","23,0","0"
"751010203","Les Halles 3","75101","Paris 1er Arrondissement","70,0","14,0","1","20520","36250","61470","1,13","10940","17980","23210","29440","44340","55400","68590","100000","9,1","15,3","0,503","71,5","60,0","2,8","8,7","15,4","13,1","0"
"751010204","Les Halles 4","75101","Paris 1er Arrondissement","70,0","17,0","1","18980","33340","55450","1,09","9510","16060","21590","27410","41650","50100","63460","88610","9,3","14,5","0,487","75,1","65,7","3,0","6,4","13,1","11,8","0"
"751010205","Les Halles 5","75101","Paris 1er Arrondissement","ns","ns","so","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","ns","so","so","ns","ns","ns","ns","ns","ns","ns","so"
